Brand,ModelName,ProcessorBrand,ProcessorName,ProcessorGeneration,OS,RAM,HDD,SSD,StorageDrive,GraphicCardBrand,GraphicCardSize,Stars,Ratings,Reviews,Price,Discount(%)
Lenovo,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...,AMD,Ryzen 5Core,Ryzen 5,Windows 11,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.5,161.0,22.0,60990,31.0
HP,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.3,1053.0,99.0,41990,15.0
ASUS,ASUS ASUS TUF Gaming Core i5 11th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RT...,Intel,Core i5,11th Gen,Windows 10,8,0,1 TB,1 TB SSD,NVIDIA,4.0,4.5,439.0,53.0,75990,35.0
Lenovo,Lenovo Legion 5 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVID...,AMD,Ryzen 5Core,Ryzen 5,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,NVIDIA,4.0,4.6,318.0,32.0,60990,34.0
ASUS,ASUS VivoBook Ultra K15 OLED Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L322...,Intel,Core i3,11th Gen,Windows 11,8,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,0.0,0.0,0.0,0.0,50990,19.0
ASUS,ASUS VivoBook K15 OLED (2021) Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K513EA-L5...,Intel,Core i5,11th Gen,Windows 10,16,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,0.0,4.4,369.0,55.0,67990,20.0
HP,HP Ryzen 7 Octa Core 5700U - (8 GB/512 GB SSD/Windows 10 Home) 14s-fq1083AU Thin and Light Laptop,AMD,Ryzen 7Core,Ryzen 7,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,57.0,5.0,55490,24.0
ASUS,ASUS ROG Strix G15 Ryzen 9 Octa Core 5900HX - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeF...,AMD,Ryzen 9Core,Ryzen 9,Windows 10,16,0,1 TB,1 TB SSD,NVIDIA,6.0,4.1,16.0,3.0,135990,26.0
Lenovo,Lenovo IdeaPad 3 15IML05 Core i3 10th Gen - (8 GB/Windows 11 Home) IdeaPad 3 15IML05 Thin and Light La...,Intel,Core i3,10th Gen,Windows 11,8,0,0,,not mentioned,0.0,4.0,4.0,1.0,33990,41.0
ASUS,ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-...,Intel,Core i5,12th Gen,Windows 11,16,0,512 GB,512 GB SSD,not mentioned,0.0,4.7,6.0,2.0,74990,24.0
acer,acer Aspire 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A515-56 Thin and Light Laptop,Intel,Core i5,11th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.3,34.0,4.0,49990,23.0
ASUS,ASUS VivoBook 15 (2022) Core i7 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/Intel Integrated Iris Plu...,Intel,Core i7,10th Gen,Windows 11,16,0,512 GB,512 GB SSD,not mentioned,0.0,4.0,128.0,16.0,57990,28.0
DELL,DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5...,Intel,Core i5,11th Gen,Windows 11,16,0,512 GB,512 GB SSD,NVIDIA,4.0,0.0,0.0,0.0,74490,22.0
APPLE,APPLE MacBook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) Z12400092,Apple,np.NaN,,Mac OS,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.7,7168.0,669.0,102990,7.0
Lenovo,Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14ALC05 2 in 1 Lapto...,AMD,Ryzen 5Core,Ryzen 5,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,0.0,0.0,0.0,57990,30.0
DELL,DELL G15 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G...,Intel,Core i5,12th Gen,Windows 11,16,0,512 GB,512 GB SSD,NVIDIA,4.0,0.0,0.0,0.0,87990,21.0
ASUS,ASUS Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) BR1100CKA-GJ0722W Laptop,Intel,Celero,,Windows 11,4,0,128 GB,128 GB SSD,not mentioned,0.0,0.0,0.0,0.0,24999,19.0
Lenovo,Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,Intel,Core i5,10th Gen,Windows 10,8,1 TB,0,1 TB HDD,not mentioned,0.0,3.8,2896.0,336.0,44990,32.0
acer,acer Nitro 5 Ryzen 7 Octa Core 5800H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA...,AMD,Ryzen 7Core,Ryzen 7,Windows 10,16,1 TB,256 GB,1 TB HDD 256 GB SSD,NVIDIA,6.0,4.4,356.0,48.0,94990,20.0
ASUS,ASUS VivoBook 14 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) X415FA-BV341T Thin and Light Lap...,Intel,Core i3,10th Gen,Windows 10,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.3,109.0,9.0,32489,30.0
realme,realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 10,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.4,7265.0,1148.0,42990,21.0
ASUS,ASUS VivoBook 15 (2021) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ502WS T...,Intel,Core i5,11th Gen,Windows 11,8,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,0.0,4.3,12.0,0.0,51990,28.0
Lenovo,Lenovo IdeaPad Flex 5 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL05 2 in 1 Laptop,Intel,Core i7,11th Gen,Windows 10,16,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,80.0,10.0,81990,34.0
MSI,MSI GF63 Thin Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForc...,Intel,Core i7,10th Gen,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,NVIDIA,4.0,4.3,959.0,107.0,67490,19.0
ASUS,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core 5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) KM5...,AMD,Ryzen 5Core,Ryzen 5,Windows 11,8,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,0.0,4.5,664.0,90.0,58990,25.0
ASUS,ASUS VivoBook Flip 14 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) TP470EA-EC301WS 2 in 1 Lapt...,Intel,Core i3,11th Gen,Windows 11,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.6,16.0,1.0,49990,21.0
acer,acer Aspire 3 Ryzen 3 Dual Core R33250U - (4 GB/512 GB SSD/Windows 11 Home) A315-23 Notebook,AMD,Ryzen 3Core,Ryzen 3,Windows 11,4,0,512 GB,512 GB SSD,not mentioned,0.0,4.8,10.0,0.0,33999,20.0
Lenovo,Lenovo ThinkBook 13s Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) TB13s ITL Gen 2 Thin and Li...,Intel,Core i5,11th Gen,Windows 10,16,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,89.0,9.0,60990,49.0
HP,HP OMEN 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX ...,AMD,Ryzen 7Core,Ryzen 7,Windows 10,16,0,1 TB,1 TB SSD,NVIDIA,6.0,4.5,514.0,68.0,109990,11.0
Infinix,Infinix INBook X1 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,Intel,Core i5,10th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.1,669.0,106.0,39990,33.0
APPLE,APPLE 2020 Macbook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MGN73HN/A,Apple,np.NaN,,Mac OS,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.7,899.0,98.0,104990,10.0
HP,HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv1001TU Thin and Light Laptop,Intel,Core i5,11th Gen,Windows 11,16,0,512 GB,512 GB SSD,not mentioned,0.0,4.5,188.0,15.0,59990,23.0
ASUS,ASUS VivoBook 14 (2021) Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB712WS Thi...,AMD,Ryzen 5Core,Ryzen 5,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.7,15.0,1.0,44990,22.0
HP,HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s- DY2501TU Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 10,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.4,5262.0,565.0,37999,17.0
DELL,DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop,Intel,Core i3,10th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,3.9,45.0,7.0,40990,25.0
Lenovo,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) ideapad 3 14ALC6UB Thin and...,AMD,Ryzen 5Core,Ryzen 5,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,0.0,0.0,0.0,48490,28.0
ASUS,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX...,Intel,Core i5,10th Gen,Windows 11,8,0,1 TB,1 TB SSD,NVIDIA,4.0,4.7,3.0,0.0,64490,20.0
HP,HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop,AMD,Ryzen 3Core,Ryzen 3,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.1,291.0,41.0,38990,21.0
acer,acer Aspire 7 Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,AMD,Ryzen 5Core,Ryzen 5,Windows 10,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.5,1369.0,175.0,51990,9.0
ASUS,ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,AMD,Ryzen 7Core,Ryzen 7,Windows 11,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.6,703.0,101.0,83990,22.0
Avita,Avita SATUS Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-MB Laptop,Intel,Celero,,Windows 11,4,0,128 GB,128 GB SSD,not mentioned,0.0,4.4,30.0,7.0,21990,26.0
HP,HP Pentium Quad Core - (8 GB/256 GB SSD/Windows 11 Home) 14s-dq3033tu Thin and Light Laptop,Intel,Pentium,,Windows 11,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.1,104.0,12.0,33999,13.0
HP,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-DU1066TU Thin and Light Laptop,Intel,Core i3,10th Gen,Windows 10,8,1 TB,0,1 TB HDD,not mentioned,0.0,4.1,1107.0,116.0,36990,14.0
Lenovo,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 11,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.2,60.0,7.0,39990,34.0
DELL,DELL Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/...,AMD,Ryzen 5Core,Ryzen 5,Windows 11,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.5,13.0,3.0,69490,27.0
RedmiBook,RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Thin and Light Laptop,Intel,Core i5,11th Gen,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.2,1849.0,254.0,48990,18.0
HP,HP Pavilion x360 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-dy0186TU 2 in 1 Laptop,Intel,Core i3,11th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,65.0,6.0,55990,19.0
acer,acer Aspire 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A515-56-51EV Thin and Light Laptop,Intel,Core i5,11th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.2,202.0,24.0,52990,30.0
acer,acer Predator Helios 300 Core i7 11th Gen - (16 GB/1 TB HDD/512 GB SSD/Windows 10 Home/4 GB Graphics/N...,Intel,Core i7,11th Gen,Windows 10,16,1 TB,512 GB,1 TB HDD 512 GB SSD,NVIDIA,4.0,4.5,246.0,41.0,95990,36.0
Lenovo,Lenovo IdeaPad Slim 3 Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows 10 Home) 15ADA05 Laptop,AMD,Ryzen 3Core,Ryzen 3,Windows 10,4,1 TB,0,1 TB HDD,not mentioned,0.0,3.5,397.0,73.0,30990,16.0
DELL,DELL Vostro Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10) VOSTRO 3400 Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 10,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.1,428.0,49.0,38990,9.0
ASUS,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,Intel,Core i5,10th Gen,Windows 10,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.5,4170.0,463.0,59990,26.0
ASUS,ASUS VivoBook 15 (2022) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and L...,Intel,Core i3,11th Gen,Windows 10,4,0,256 GB,256 GB SSD,not mentioned,0.0,4.3,1629.0,203.0,34990,30.0
ASUS,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) K513EA-L312WS Thin ...,Intel,Core i3,11th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.5,268.0,41.0,50990,19.0
ASUS,ASUS ZenBook Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) UX325EA-KG502WS Thin and Light Lapto...,Intel,Core i5,11th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,5.0,3.0,0.0,69990,19.0
ASUS,ASUS TUF Gaming F15 (2021) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA G...,Intel,Core i5,11th Gen,Windows 10,16,0,512 GB,512 GB SSD,NVIDIA,6.0,4.6,197.0,27.0,89990,30.0
Lenovo,Lenovo IdeaPad Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad 5 15ITL05 Thin and Light ...,Intel,Core i5,11th Gen,Windows 11,16,0,512 GB,512 GB SSD,not mentioned,0.0,5.0,3.0,0.0,62990,35.0
DELL,DELL Inspiron Ryzen 5 Dual Core 3450U - (8 GB/512 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light...,AMD,Ryzen 5Core,Ryzen 5,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,0.0,0.0,0.0,46790,25.0
HP,HP Core i3 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) 250 G8 Laptop,Intel,Core i3,11th Gen,Windows 11,8,1 TB,0,1 TB HDD,not mentioned,0.0,0.0,0.0,0.0,40699,6.0
ASUS,ASUS VivoBook Flip 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) TP470EA-EC511WS 2 in 1 Lapt...,Intel,Core i5,11th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.6,20.0,2.0,63990,22.0
ASUS,ASUS Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) BR1100FKA-BP1104W Laptop,Intel,Celero,,Windows 11,4,0,128 GB,128 GB SSD,not mentioned,0.0,4.0,3.0,1.0,29990,18.0
Avita,Avita Liber Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home) NS14A8INR671-PAG Thin and Light Laptop,Intel,Core i7,10th Gen,Windows 10,16,0,1 TB,1 TB SSD,not mentioned,0.0,3.8,214.0,49.0,51990,37.0
Lenovo,Lenovo IdeaPad Slim 3i (2021) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) IdeaPad 3 14ITL6 Th...,Intel,Core i3,11th Gen,Windows 10,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.4,167.0,30.0,43790,25.0
HP,HP Pavilion Aero Ryzen 5 Hexa Core 5600U - (16 GB/512 GB SSD/Windows 10 Home) 13-BE0030AU Thin and Lig...,AMD,Ryzen 5Core,Ryzen 5,Windows 10,16,0,512 GB,512 GB SSD,not mentioned,0.0,4.3,118.0,20.0,64489,28.0
Lenovo,Lenovo Yoga 6 Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 13ALC6 2 in 1 Laptop,AMD,Ryzen 7Core,Ryzen 7,Windows 11,16,0,512 GB,512 GB SSD,not mentioned,0.0,4.7,6.0,0.0,77990,38.0
Infinix,Infinix INBook X1 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,Intel,Core i5,10th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.1,669.0,106.0,39990,33.0
DELL,DELL Inspiron Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10) Inspiron 3511 Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 10,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.2,30.0,3.0,42490,25.0
Lenovo,Lenovo Ideapad Slim 5i Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) ide...,Intel,Core i5,11th Gen,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,2.0,4.3,79.0,6.0,58990,37.0
APPLE,APPLE 2020 Macbook Pro M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MYD92HN/A,Apple,np.NaN,,Mac OS,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.6,425.0,46.0,127990,10.0
DELL,DELL Vostro Core i3 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Vostro 3401 Thin and Light L...,Intel,Core i3,10th Gen,Windows 10,4,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,0.0,4.3,69.0,8.0,37126,0.0
Lenovo,Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...,AMD,Ryzen 5Core,Ryzen 5,Windows 11,8,0,512 GB,512 GB SSD,NVIDIA,4.0,5.0,3.0,1.0,69990,32.0
ASUS,ASUS VivoBook 14 (2021) Ryzen 7 Quad Core 3700U - (16 GB/512 GB SSD/Windows 11 Home) M415DA-EB512WS Th...,AMD,Ryzen 7Core,Ryzen 7,Windows 11,16,0,512 GB,512 GB SSD,not mentioned,0.0,4.7,3.0,0.0,52990,29.0
DELL,DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-55...,Intel,Core i5,11th Gen,Windows 11,8,0,512 GB,512 GB SSD,NVIDIA,4.0,0.0,0.0,0.0,69490,8.0
MSI,MSI Katana GF66 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 30...,Intel,Core i7,11th Gen,Windows 10,16,0,1 TB,1 TB SSD,NVIDIA,4.0,4.4,270.0,33.0,84990,27.0
ASUS,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X515EP-BQ...,Intel,Core i5,11th Gen,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,2.0,4.4,38.0,5.0,56449,28.0
DELL,DELL Inspiron Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Inspiron 3501 Laptop,Intel,Core i3,10th Gen,Windows 10,4,0,256 GB,256 GB SSD,not mentioned,0.0,4.4,652.0,65.0,39490,11.0
ASUS,ASUS Vivobook 14 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X415FA-BV311T Laptop,Intel,Core i3,10th Gen,Windows 10,8,1 TB,0,1 TB HDD,not mentioned,0.0,4.0,87.0,9.0,30999,34.0
ASUS,ASUS Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-DM101T Laptop,Intel,Pentium,,Windows 10,4,1 TB,0,1 TB HDD,not mentioned,0.0,0.0,0.0,0.0,27990,17.0
MSI,MSI Modern 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-639IN Notebook,Intel,Core i5,10th Gen,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,766.0,99.0,45990,25.0
Lenovo,Lenovo APU Dual Core A9 A99425 - (4 GB/1 TB HDD/DOS) E41-45 Notebook,AMD,Core,,Windows 10,4,1 TB,0,1 TB HDD,not mentioned,0.0,3.9,229.0,18.0,21896,0.0
Lenovo,Lenovo IdeaPad Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,Intel,Core i5,10th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,10.0,0.0,47998,39.0
DELL,DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) vostro 3510 icl Thin and Light Laptop,Intel,Core i3,10th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,3.9,45.0,7.0,40990,26.0
ASUS,ASUS ASUS TUF Gaming Ryzen 7 Octa Core 4800H - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,AMD,Ryzen 7Core,Ryzen 7,Windows 10,16,0,512 GB,512 GB SSD,NVIDIA,4.0,4.5,1112.0,154.0,80990,25.0
HP,HP Pavilion Gaming Ryzen 7 Octa Core 4800H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/...,AMD,Ryzen 7Core,Ryzen 7,Windows 10,16,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,4.0,4.5,1212.0,127.0,75990,18.0
DELL,DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 11,8,1 TB,0,1 TB HDD,not mentioned,0.0,3.6,411.0,55.0,33990,33.0
Lenovo,Lenovo Ideapad Flex 5 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) Ideapad Flex 5 14LT05 UA 2 ...,Intel,Core i3,11th Gen,Windows 11,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.4,312.0,42.0,51990,31.0
MSI,MSI Alpha 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/AMD Radeon RX6600...,AMD,Ryzen 7Core,Ryzen 7,Windows 10,16,0,1 TB,1 TB SSD,not mentioned,8.0,4.7,137.0,27.0,94990,34.0
DELL,DELL Vostro Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 5415 Thin and Light Lap...,AMD,Ryzen 5Core,Ryzen 5,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,0.0,0.0,0.0,59490,9.0
ASUS,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Laptop,Intel,Core i3,11th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,3.7,10.0,0.0,41690,26.0
HP,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-FR2508TU Laptop,Intel,Core i3,11th Gen,Windows 11,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.1,90.0,8.0,42490,17.0
ASUS,ASUS ROG Strix G15 (2021) Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVI...,AMD,Ryzen 7Core,Ryzen 7,Windows 10,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.5,160.0,17.0,76990,15.0
DELL,DELL G15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) G15...,Intel,Core i7,12th Gen,Windows 11,16,0,1 TB,1 TB SSD,NVIDIA,6.0,0.0,0.0,0.0,138990,21.0
DELL,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511,Inspiron 300...",Intel,Core i3,11th Gen,Windows 11,8,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,0.0,4.3,980.0,127.0,44490,22.0
ASUS,ASUS ROG Strix G15 (2020) Octa Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA...,Intel,Core i7,10th Gen,Windows 10,16,0,1 TB,1 TB SSD,NVIDIA,4.0,4.6,288.0,46.0,92590,20.0
DELL,DELL INSPIRON Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Inspiron 3501 Laptop,Intel,Core i3,10th Gen,Windows 10,8,1 TB,0,1 TB HDD,not mentioned,0.0,4.0,542.0,49.0,42090,12.0
Lenovo,Lenovo Ideapad S145 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) S145-15IKB Thin and Light Laptop,Intel,Core i3,7th Gen,Windows 10,4,1 TB,0,1 TB HDD,not mentioned,0.0,4.0,5328.0,660.0,30990,3.0
HP,HP Pavilion Ryzen 7 Octa Core 5800U - (16 GB/1 TB SSD/Windows 11 Home) 13-BE0208AU Thin and Light Lapt...,AMD,Ryzen 7Core,Ryzen 7,Windows 11,16,0,1 TB,1 TB SSD,not mentioned,0.0,0.0,0.0,0.0,79790,27.0
DELL,DELL Inspiron Core i5 11th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10) Inspiron 3501 Thin and Light La...,Intel,Core i5,11th Gen,Windows 10,4,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,0.0,4.1,45.0,5.0,55990,6.0
